value,m,s,n,n_arms,eps,f_eps,f_n_arms,n_users
11,200.6963383838378,3.8110985431861746,4,20.0,0.2,0.2,20,101
12,165.8869047619042,5.026984213127811,5,20.0,0.2,0.2,20,101
13,199.44651251526187,6.481466447465195,4,20.0,0.2,0.2,20,101
14,126.86331168831202,1.9294124333676648,7,20.0,0.2,0.2,20,101
15,143.47338263588264,3.3452483126636,6,20.0,0.2,0.2,20,101
16,169.41279220779148,2.834394932977674,5,20.0,0.2,0.2,20,101
17,201.39108044732978,2.5745965468152257,4,20.0,0.2,0.2,20,101
18,198.24503968253924,2.7649296687833367,4,20.0,0.2,0.2,20,101
19,248.47222222222237,2.427409074469093,3,20.0,0.2,0.2,20,101
20,168.0382539682534,1.169547941677036,5,20.0,0.2,0.2,20,101
1,147.11777777777775,5.876535165267478,5,20.0,0.3,0.3,20,101
2,129.00537703037742,3.379072882944407,6,20.0,0.3,0.3,20,101
3,127.70219363969402,2.4349381317793855,6,20.0,0.3,0.3,20,101
4,173.5630952380947,3.5715713816245014,4,20.0,0.3,0.3,20,101
5,167.238095238095,3.637032091629367,4,20.0,0.3,0.3,20,101
6,127.65651755651794,4.090025880381779,6,20.0,0.3,0.3,20,101
7,148.48884559884553,4.605783943320732,5,20.0,0.3,0.3,20,101
8,114.40635951350284,2.5003762073993014,7,20.0,0.3,0.3,20,101
9,114.12618452975639,1.4322154774851563,7,20.0,0.3,0.3,20,101
10,208.16957671957653,2.4229825115506656,3,20.0,0.3,0.3,20,101
11,173.77196067821023,9.924827068630023,4,20.0,0.3,0.3,20,101
12,205.40119047619024,3.8384913045475533,3,20.0,0.3,0.3,20,101
13,172.2834325396824,3.698067253648793,4,20.0,0.3,0.3,20,101
14,146.81490620490615,2.632409886205736,5,20.0,0.3,0.3,20,101
15,147.25,2.9321791748464507,5,20.0,0.3,0.3,20,101
16,149.49841269841264,4.023460867850803,5,20.0,0.3,0.3,20,101
17,128.0660413660419,2.341043589463939,6,20.0,0.3,0.3,20,101
18,146.45339826839827,4.010630879874302,5,20.0,0.3,0.3,20,101
19,128.14980158730197,4.742881896237498,6,20.0,0.3,0.3,20,101
20,145.39441558441558,3.839960656034817,5,20.0,0.3,0.3,20,101
1,142.03769841269855,5.857482810498216,4,20.0,0.4,0.4,20,101
2,102.97190864690894,3.6369817946062266,7,20.0,0.4,0.4,20,101
3,168.37953342953315,3.71253393462669,3,20.0,0.4,0.4,20,101
4,126.8253823953826,2.5260069892587373,5,20.0,0.4,0.4,20,101
5,205.61132756132744,14.147492493285469,2,20.0,0.4,0.4,20,101
6,166.18097643097627,3.8658722975389184,3,20.0,0.4,0.4,20,101
7,86.17609520109548,2.490575305073958,9,20.0,0.4,0.4,20,101
8,101.4960222317368,2.9535169540476365,7,20.0,0.4,0.4,20,101
9,170.5292328042326,2.8242926975089793,3,20.0,0.4,0.4,20,101
10,147.12680375180366,4.376331031303905,4,20.0,0.4,0.4,20,101
12,102.28606155749041,4.11336427126789,7,20.0,0.4,0.4,20,101
13,149.5088023088021,2.182523304411845,4,20.0,0.4,0.4,20,101
14,102.82184521827413,3.2099145852492033,7,20.0,0.4,0.4,20,101
15,143.9344606782106,3.81682622932075,4,20.0,0.4,0.4,20,101
16,202.415873015873,1.5303811049965366,2,20.0,0.4,0.4,20,101
17,126.25827783327813,1.8159376901547037,5,20.0,0.4,0.4,20,101
18,112.99295935545972,3.3285877804063637,6,20.0,0.4,0.4,20,101
19,92.01554105616636,1.793473217627097,8,20.0,0.4,0.4,20,101
20,78.20168567543595,2.8045586758453993,10,20.0,0.4,0.4,20,101
1,118.20458152958166,4.378415335537352,4,20.0,0.5,0.5,20,101
2,87.82842316413772,3.2386229560828403,7,20.0,0.5,0.5,20,101
3,96.89250749250773,4.4793696061162365,6,20.0,0.5,0.5,20,101
