n_arms,eps,rewards,avg_rewards
5.0,0.3,25.60848851648326,5.121697703296651
5.0,0.3,25.874585057558342,5.174917011511668
5.0,0.3,25.52571827440445,5.10514365488089
5.0,0.3,24.897109985593644,4.979421997118729
5.0,0.3,24.932037489478567,4.986407497895713
5.0,0.3,25.612877021239463,5.122575404247892
5.0,0.3,25.130055269510496,5.026011053902099
5.0,0.3,26.442034010198096,5.288406802039619
5.0,0.3,25.212725754066888,5.042545150813377
5.0,0.3,25.430631327243468,5.086126265448693
5.0,0.3,24.739553293672383,4.947910658734477
5.0,0.3,24.92752015001767,4.985504030003534
5.0,0.3,25.578704543187975,5.115740908637595
5.0,0.3,25.438161926729162,5.087632385345833
5.0,0.3,25.140458442449514,5.028091688489903
5.0,0.3,24.971146023489926,4.994229204697985
5.0,0.3,26.438830807458388,5.287766161491677
5.0,0.3,24.89549897469319,4.979099794938637
5.0,0.3,24.812027664178135,4.962405532835627
5.0,0.3,24.867722843187963,4.9735445686375925
5.0,0.3,26.338361789992547,5.267672357998509
5.0,0.3,25.7759284496922,5.155185689938439
5.0,0.3,25.823962783383802,5.16479255667676
5.0,0.3,25.672253133377758,5.134450626675552
5.0,0.3,24.830564574722345,4.9661129149444685
5.0,0.3,26.355078298773616,5.271015659754723
5.0,0.3,25.407512115982765,5.081502423196553
5.0,0.3,25.547720084693683,5.109544016938737
5.0,0.3,25.49654512933288,5.099309025866575
5.0,0.3,25.85596432133346,5.171192864266692
5.0,0.3,25.59063517164374,5.118127034328748
5.0,0.3,24.993159943636847,4.99863198872737
5.0,0.3,25.259788307169806,5.051957661433962
5.0,0.3,26.32795608330696,5.2655912166613925
5.0,0.3,24.909288027351952,4.98185760547039
5.0,0.3,25.222708712529975,5.044541742505995
5.0,0.3,25.500700503795656,5.100140100759131
5.0,0.3,24.89283695004507,4.9785673900090135
5.0,0.3,25.525134110413322,5.105026822082664
5.0,0.3,26.290093562178555,5.258018712435711
5.0,0.3,25.697060886554787,5.139412177310958
5.0,0.3,26.362000461451096,5.272400092290219
5.0,0.3,25.45368228244175,5.09073645648835
5.0,0.3,26.431297243265693,5.286259448653138
5.0,0.3,25.49964511421603,5.099929022843206
5.0,0.3,25.769712290328044,5.153942458065609
5.0,0.3,26.281418166928837,5.256283633385767
5.0,0.3,24.837495138619595,4.967499027723919
5.0,0.3,25.746846525585802,5.14936930511716
5.0,0.3,25.109666639761983,5.0219333279523966
5.0,0.3,24.766636816254834,4.953327363250967
5.0,0.3,25.75670460435841,5.151340920871682
5.0,0.3,24.927973190566874,4.985594638113375
5.0,0.3,26.42507624312318,5.285015248624636
5.0,0.3,25.87819546101859,5.175639092203718
5.0,0.3,25.69889489153881,5.139778978307762
5.0,0.3,25.530129002928888,5.106025800585777
5.0,0.3,25.084569913995047,5.01691398279901
5.0,0.3,25.222127526123682,5.044425505224736
5.0,0.3,25.737250407379335,5.147450081475867
5.0,0.3,24.789700950660432,4.957940190132087
5.0,0.3,25.763790032782072,5.1527580065564145
5.0,0.3,25.609743981238058,5.121948796247612
5.0,0.3,25.50652727549888,5.101305455099776
5.0,0.3,25.07352671810651,5.014705343621302
5.0,0.3,25.178815037038216,5.035763007407643
5.0,0.3,25.148701723125047,5.02974034462501
5.0,0.3,24.89401007617413,4.978802015234827
5.0,0.3,26.474786136341912,5.294957227268382
5.0,0.3,26.31550466643965,5.26310093328793
5.0,0.3,25.85840308185146,5.171680616370292
5.0,0.3,25.477497211000404,5.095499442200081
5.0,0.3,25.156740296577016,5.031348059315403
