value,m,s,n,n_arms,eps,f_eps,f_n_arms
6,72.06966644466664,5.756144180920547,7,20.0,0.6,0.6,20
7,64.16674344174366,1.3748014289962787,9,20.0,0.6,0.6,20
8,113.07247474747473,2.848324068805551,2,20.0,0.6,0.6,20
10,73.75188224473956,5.0141096108182825,7,20.0,0.6,0.6,20
11,89.78066378066393,6.44727743875759,4,20.0,0.6,0.6,20
12,92.72674062049076,4.281982837326258,4,20.0,0.6,0.6,20
13,73.37644577644596,3.2819997085308454,7,20.0,0.6,0.6,20
14,78.97191558441577,2.9195757225151744,6,20.0,0.6,0.6,20
15,89.59387626262642,6.4541126614103295,4,20.0,0.6,0.6,20
16,98.6746512746514,1.505240355824076,3,20.0,0.6,0.6,20
17,78.21554232804249,3.1363907995296545,6,20.0,0.6,0.6,20
18,78.56326728826748,4.142988366963778,6,20.0,0.6,0.6,20
19,77.43933982683994,3.1692385617760257,6,20.0,0.6,0.6,20
20,92.96172438672457,4.274561628274977,4,20.0,0.6,0.6,20
1,57.93448337376918,3.7455366340341736,7,20.0,0.7,0.7,20
2,65.34634601509613,3.9481717566618504,4,20.0,0.7,0.7,20
3,65.28554279054293,4.319953926869286,5,20.0,0.7,0.7,20
4,60.89916611166624,3.5820373820995113,6,20.0,0.7,0.7,20
5,59.70648148148161,4.295902805040432,6,20.0,0.7,0.7,20
6,65.76110389610405,3.8075116108833416,5,20.0,0.7,0.7,20
7,76.39906204906214,2.3696240018594423,2,20.0,0.7,0.7,20
8,61.54312409812424,3.393899007009835,5,20.0,0.7,0.7,20
9,57.205374585731846,2.4068375706736918,7,20.0,0.7,0.7,20
10,62.36408369408381,4.646455914547181,5,20.0,0.7,0.7,20
11,64.11419635919648,2.948951437935401,5,20.0,0.7,0.7,20
12,68.95706168831181,4.648207548077847,4,20.0,0.7,0.7,20
13,77.62602813852826,3.476327742904844,2,20.0,0.7,0.7,20
14,69.65708874458886,3.0557050579356253,4,20.0,0.7,0.7,20
15,66.15073051948062,2.8543709134991104,4,20.0,0.7,0.7,20
16,67.1280753968255,3.6406816852342665,4,20.0,0.7,0.7,20
17,69.98452380952395,0.8094322492053273,4,20.0,0.7,0.7,20
18,51.76889468556147,2.9740467938176582,9,20.0,0.7,0.7,20
19,55.4471833721835,3.2929611767239324,8,20.0,0.7,0.7,20
20,63.53417970917984,1.8778152727237438,5,20.0,0.7,0.7,20
1,41.595176648748115,3.722726328393063,7,20.0,0.8,0.8,20
2,41.26607744107747,2.120858519779549,6,20.0,0.8,0.8,20
3,42.019170908456665,2.0682168033466883,7,20.0,0.8,0.8,20
4,43.462832167832204,2.652606508293452,5,20.0,0.8,0.8,20
5,41.28101620601624,3.10227872440083,6,20.0,0.8,0.8,20
6,41.66565841565846,2.5390172003547304,6,20.0,0.8,0.8,20
7,37.38659827826498,2.569783960612758,9,20.0,0.8,0.8,20
8,43.91417027417032,3.010551887845845,5,20.0,0.8,0.8,20
9,44.27761474636479,4.478665209554385,4,20.0,0.8,0.8,20
10,47.120297757797786,4.882335287520908,2,20.0,0.8,0.8,20
11,37.73616487678989,2.7393477563916506,8,20.0,0.8,0.8,20
12,44.70725478225481,2.262805100846354,3,20.0,0.8,0.8,20
15,40.56373580123584,3.557525663681471,6,20.0,0.8,0.8,20
16,41.77119408369413,3.49010263556593,4,20.0,0.8,0.8,20
17,41.87479964479967,2.07382031023131,5,20.0,0.8,0.8,20
18,37.31409265337839,2.6274565325887793,7,20.0,0.8,0.8,20
19,43.071160783660844,1.940363562583873,6,20.0,0.8,0.8,20
20,45.688516113516144,2.2966902299791863,3,20.0,0.8,0.8,20
1,22.006657925407914,1.4465154394777577,4,20.0,0.9,0.9,20
2,23.27992784992784,3.3948918182747128,5,20.0,0.9,0.9,20
3,21.177120102120096,2.928744502822294,3,20.0,0.9,0.9,20
4,23.304978354978342,0.4514414490664352,3,20.0,0.9,0.9,20
5,20.266294816294806,1.9698842491924773,6,20.0,0.9,0.9,20
6,23.14563492063491,0.7149635231997351,2,20.0,0.9,0.9,20
7,21.799738455988443,1.8136577648395154,4,20.0,0.9,0.9,20
8,23.882449494949483,1.6575554117759188,6,20.0,0.9,0.9,20
9,21.15243506493506,0.7446303769702909,2,20.0,0.9,0.9,20
10,21.74536266202932,1.2170159186182092,9,20.0,0.9,0.9,20
11,22.451180486180473,2.5775298429717903,5,20.0,0.9,0.9,20
12,21.35021537104869,2.585196289537773,9,20.0,0.9,0.9,20
13,22.803763828763813,0.9908189099409718,3,20.0,0.9,0.9,20
14,21.11517530088958,1.5929128513431718,7,20.0,0.9,0.9,20
15,20.37848124098123,1.23145407548604,4,20.0,0.9,0.9,20
16,22.450324675324666,1.0512204429648775,4,20.0,0.9,0.9,20
17,20.640196608946603,1.2227126965174842,4,20.0,0.9,0.9,20
18,23.502204277204267,2.4157843757637942,6,20.0,0.9,0.9,20
19,21.344149831649823,0.630788274677914,6,20.0,0.9,0.9,20
20,21.430787422454078,2.40847323284892,9,20.0,0.9,0.9,20
1,443.55833333333214,10.641957056857468,2,30.0,0.1,0.1,30
2,307.1753968253966,2.603582406113962,3,30.0,0.1,0.1,30
3,305.95396825396824,2.413903338430473,3,30.0,0.1,0.1,30
4,308.1305555555553,1.356832845405102,3,30.0,0.1,0.1,30
5,302.48095238095215,2.703748342956585,3,30.0,0.1,0.1,30
7,160.56984126984065,1.8852681049824418,6,30.0,0.1,0.1,30
8,234.68809523809483,2.1224112772103507,4,30.0,0.1,0.1,30
9,307.02777777777754,2.739745189557433,3,30.0,0.1,0.1,30
10,307.62222222222186,6.158425424059345,3,30.0,0.1,0.1,30
11,447.84285714285613,8.084587531566196,2,30.0,0.1,0.1,30
12,303.9888888888888,4.3928709080523936,3,30.0,0.1,0.1,30
13,234.54821428571412,2.9830811501110515,4,30.0,0.1,0.1,30
14,191.06761904761763,1.5580723889347634,5,30.0,0.1,0.1,30
15,306.20873015873013,4.0042326906242485,3,30.0,0.1,0.1,30
16,439.25476190476076,6.451507584540131,2,30.0,0.1,0.1,30
17,306.02460317460316,1.9247895507859902,3,30.0,0.1,0.1,30
18,235.69523809523773,3.0084449040560486,4,30.0,0.1,0.1,30
20,233.69345238095207,3.505643530740951,4,30.0,0.1,0.1,30
21,234.69771825396774,2.691983770450731,4,30.0,0.1,0.1,30
22,233.86904761904736,6.591001160392641,4,30.0,0.1,0.1,30
23,236.06944444444443,3.837509720065883,4,30.0,0.1,0.1,30
25,159.99451058200998,2.616999829744942,6,30.0,0.1,0.1,30
26,305.7563492063492,3.669625687082258,3,30.0,0.1,0.1,30
27,237.18630952380948,3.811870494972984,4,30.0,0.1,0.1,30
28,234.7108134920632,4.080316389177446,4,30.0,0.1,0.1,30
29,235.86577380952346,1.4986625982300072,4,30.0,0.1,0.1,30
30,159.9413359788354,2.8259693487244832,6,30.0,0.1,0.1,30
1,273.5707671957677,7.279407504052647,3,30.0,0.2,0.2,30
2,213.15486111111076,7.977304552318783,4,30.0,0.2,0.2,30
3,369.5440476190465,0.41247895569201876,2,30.0,0.2,0.2,30
4,132.12571119356855,1.7616467992140132,7,30.0,0.2,0.2,30
5,132.0376984126987,2.588431522019382,7,30.0,0.2,0.2,30
7,274.564682539683,7.413546727146358,3,30.0,0.2,0.2,30
8,215.30476190476156,3.9637748133534854,4,30.0,0.2,0.2,30
9,378.85119047618986,19.24508956129365,2,30.0,0.2,0.2,30
10,377.9970238095225,13.395464534549333,2,30.0,0.2,0.2,30
11,217.83749999999958,6.87809722029873,4,30.0,0.2,0.2,30
14,274.9210317460319,5.3211654794519925,3,30.0,0.2,0.2,30
15,274.58452380952417,5.176316558897096,3,30.0,0.2,0.2,30
16,215.64107142857125,4.797009246763028,4,30.0,0.2,0.2,30
17,178.75706349206263,4.627557866562936,5,30.0,0.2,0.2,30
18,215.46190476190475,4.475183524023983,4,30.0,0.2,0.2,30
19,217.052380952381,4.76987398636537,4,30.0,0.2,0.2,30
20,268.54563492063556,4.515697980399904,3,30.0,0.2,0.2,30
21,151.5604858104856,1.458506655647062,6,30.0,0.2,0.2,30
23,274.16904761904794,3.59664195234,3,30.0,0.2,0.2,30
24,275.35833333333375,3.0899781314124817,3,30.0,0.2,0.2,30
26,151.98154761904732,2.1455402184060532,6,30.0,0.2,0.2,30
27,378.8642857142849,13.182490706406407,2,30.0,0.2,0.2,30
28,215.74295634920622,4.340476013613583,4,30.0,0.2,0.2,30
29,131.35621005978177,3.4931171539400077,7,30.0,0.2,0.2,30
30,276.4460317460323,13.78306421056257,3,30.0,0.2,0.2,30
1,141.79907407407413,3.6723026899037765,6,30.0,0.3,0.3,30
2,239.78134920634972,2.8242595133842734,3,30.0,0.3,0.3,30
4,163.71476190476153,3.928650345928419,5,30.0,0.3,0.3,30
5,196.25823412698384,9.283861702858879,4,30.0,0.3,0.3,30
7,163.4802380952377,3.6834171201689294,5,30.0,0.3,0.3,30
8,310.3333333333332,2.4041630560342457,2,30.0,0.3,0.3,30
9,312.2607142857141,11.973674828092086,2,30.0,0.3,0.3,30
10,160.8019841269838,2.3547428123941674,5,30.0,0.3,0.3,30
11,311.51964285714234,6.952374887880509,2,30.0,0.3,0.3,30
12,194.67450396825384,6.125113136613854,4,30.0,0.3,0.3,30
14,162.9677777777776,1.3338826461994793,5,30.0,0.3,0.3,30
15,317.99404761904725,11.160502029727693,2,30.0,0.3,0.3,30
16,140.306746031746,2.938990874353958,6,30.0,0.3,0.3,30
17,240.74444444444487,7.52526696251665,3,30.0,0.3,0.3,30
18,163.08793650793632,4.743208075654499,5,30.0,0.3,0.3,30
19,237.5291005291007,13.945432273946048,3,30.0,0.3,0.3,30
20,161.54563492063477,4.979700652429303,5,30.0,0.3,0.3,30
21,140.47850529100532,3.9716623887295204,6,30.0,0.3,0.3,30
22,314.3892857142857,1.5371154552935138,2,30.0,0.3,0.3,30
23,197.8263888888886,5.229009842622288,4,30.0,0.3,0.3,30
24,162.92150793650788,1.4156269638595682,5,30.0,0.3,0.3,30
26,244.05436507936582,3.956441963695906,3,30.0,0.3,0.3,30
27,196.21408730158714,6.062524425719514,4,30.0,0.3,0.3,30
28,238.07182539682574,6.402259977783695,3,30.0,0.3,0.3,30
29,319.53869047619,13.115988997223068,2,30.0,0.3,0.3,30
30,239.28928571428602,5.1636720529381455,3,30.0,0.3,0.3,30
1,144.5623015873015,4.284120321968847,5,30.0,0.4,0.4,30
2,170.08998015873027,6.5772070561656495,4,30.0,0.4,0.4,30
4,170.39910714285676,5.521633343824568,4,30.0,0.4,0.4,30
5,199.76666666666682,1.056167324806732,3,30.0,0.4,0.4,30
6,205.47751322751327,2.350122030804049,3,30.0,0.4,0.4,30
7,170.1031746031745,8.652191965042741,4,30.0,0.4,0.4,30
8,257.5535714285718,4.119738794198625,2,30.0,0.4,0.4,30
9,127.25957792207817,4.105785539546062,6,30.0,0.4,0.4,30
10,201.74722222222226,8.692720709280401,3,30.0,0.4,0.4,30
