value,m,s,n,n_arms,eps,f_eps,f_n_arms,scaled_1,f_scaled_1,n_users,f_n_users
2,15.295477076800235,0.5584615426368206,20,10.0,0.7,0.7,10,14.285714285714286,14.2857142857143,201.0,201
3,17.25623277997169,0.9702228796552306,10,10.0,0.7,0.7,10,14.285714285714286,14.2857142857143,201.0,201
4,16.50801683717774,0.6233430506333054,15,10.0,0.7,0.7,10,14.285714285714286,14.2857142857143,201.0,201
5,14.822318226992744,0.689116754761617,24,10.0,0.7,0.7,10,14.285714285714286,14.2857142857143,201.0,201
6,16.044066955340426,0.7888865237814683,18,10.0,0.7,0.7,10,14.285714285714286,14.2857142857143,201.0,201
7,14.899923240233583,0.7852112402114773,23,10.0,0.7,0.7,10,14.285714285714286,14.2857142857143,201.0,201
8,15.105059207831582,0.7099748134720363,22,10.0,0.7,0.7,10,14.285714285714286,14.2857142857143,201.0,201
9,14.878976870890474,0.7870588400494755,25,10.0,0.7,0.7,10,14.285714285714286,14.2857142857143,201.0,201
10,14.998492979166018,0.6841812773518724,22,10.0,0.7,0.7,10,14.285714285714286,14.2857142857143,201.0,201
1,10.603566147928802,0.6230050073412452,18,10.0,0.8,0.8,10,12.5,12.5,201.0,201
2,10.815968542009346,0.7624267998281572,15,10.0,0.8,0.8,10,12.5,12.5,201.0,201
3,10.741236427969863,0.7756172245209947,18,10.0,0.8,0.8,10,12.5,12.5,201.0,201
4,10.992607237596896,0.8412165963915735,14,10.0,0.8,0.8,10,12.5,12.5,201.0,201
5,10.019969083729585,0.6358318906544344,26,10.0,0.8,0.8,10,12.5,12.5,201.0,201
6,10.154955987334086,0.5016057736120424,17,10.0,0.8,0.8,10,12.5,12.5,201.0,201
7,10.356245073911973,0.7554490991091226,25,10.0,0.8,0.8,10,12.5,12.5,201.0,201
8,10.553549620134158,0.5443353838139758,22,10.0,0.8,0.8,10,12.5,12.5,201.0,201
9,10.351828829294679,0.6394458498601677,22,10.0,0.8,0.8,10,12.5,12.5,201.0,201
10,10.358341716146255,0.4765315840770146,24,10.0,0.8,0.8,10,12.5,12.5,201.0,201
1,6.0581642677499525,0.28226121246034386,18,10.0,0.9,0.9,10,11.11111111111111,11.1111111111111,201.0,201
2,6.0933733797165335,0.2760484513063457,24,10.0,0.9,0.9,10,11.11111111111111,11.1111111111111,201.0,201
3,6.090311395562237,0.2051969137827819,21,10.0,0.9,0.9,10,11.11111111111111,11.1111111111111,201.0,201
4,6.026348405364482,0.2800793673854486,19,10.0,0.9,0.9,10,11.11111111111111,11.1111111111111,201.0,201
5,5.981616501269887,0.23522162015898038,19,10.0,0.9,0.9,10,11.11111111111111,11.1111111111111,201.0,201
6,6.03204505211806,0.27897868132093867,24,10.0,0.9,0.9,10,11.11111111111111,11.1111111111111,201.0,201
7,5.990027980869074,0.2832240750966966,17,10.0,0.9,0.9,10,11.11111111111111,11.1111111111111,201.0,201
8,6.024349194045941,0.17086178007152586,17,10.0,0.9,0.9,10,11.11111111111111,11.1111111111111,201.0,201
9,6.106940727508656,0.3109162168242234,22,10.0,0.9,0.9,10,11.11111111111111,11.1111111111111,201.0,201
10,6.06118554391381,0.2448842839482857,20,10.0,0.9,0.9,10,11.11111111111111,11.1111111111111,201.0,201
1,91.45423160173193,0.8805172582580881,10,20.0,0.1,0.1,20,200.0,200,201.0,201
2,91.71414114480338,1.0841397066190541,10,20.0,0.1,0.1,20,200.0,200,201.0,201
3,91.7558985867077,1.177582129766559,10,20.0,0.1,0.1,20,200.0,200,201.0,201
4,77.8543854905993,1.0510561854724478,12,20.0,0.1,0.1,20,200.0,200,201.0,201
5,84.7477191999925,1.2185596898984736,11,20.0,0.1,0.1,20,200.0,200,201.0,201
6,72.22490025718831,0.683028195210141,13,20.0,0.1,0.1,20,200.0,200,201.0,201
7,112.44872996692878,1.3357163220841737,8,20.0,0.1,0.1,20,200.0,200,201.0,201
8,111.821890762424,1.6034010578230522,8,20.0,0.1,0.1,20,200.0,200,201.0,201
9,100.6934174256548,1.4800459106248969,9,20.0,0.1,0.1,20,200.0,200,201.0,201
10,84.13014698618815,0.821366561945937,11,20.0,0.1,0.1,20,200.0,200,201.0,201
11,111.92518684338556,1.3200365802791865,8,20.0,0.1,0.1,20,200.0,200,201.0,201
12,72.46675932525905,1.0428259244162004,13,20.0,0.1,0.1,20,200.0,200,201.0,201
13,77.70887283833355,0.6718115714718361,12,20.0,0.1,0.1,20,200.0,200,201.0,201
14,72.1087134019832,0.9877147029819102,13,20.0,0.1,0.1,20,200.0,200,201.0,201
15,91.20049902711708,1.3420419932668846,10,20.0,0.1,0.1,20,200.0,200,201.0,201
16,92.04473790098825,1.079295353503593,10,20.0,0.1,0.1,20,200.0,200,201.0,201
17,91.80941211566251,1.2631328459531572,10,20.0,0.1,0.1,20,200.0,200,201.0,201
18,144.1410428215575,1.7015522132561338,6,20.0,0.1,0.1,20,200.0,200,201.0,201
19,84.30199487084566,0.8901135510916046,11,20.0,0.1,0.1,20,200.0,200,201.0,201
20,142.65778804528802,1.771285356344968,6,20.0,0.1,0.1,20,200.0,200,201.0,201
1,66.31056370100559,1.3921914725029028,13,20.0,0.2,0.2,20,100.0,100,201.0,201
2,82.20008919185443,0.9768584402564431,10,20.0,0.2,0.2,20,100.0,100,201.0,201
3,97.82434006965279,2.2603826204601614,8,20.0,0.2,0.2,20,100.0,100,201.0,201
4,98.69603705870173,2.2885500290434786,8,20.0,0.2,0.2,20,100.0,100,201.0,201
5,76.30727747992437,1.284522638873414,11,20.0,0.2,0.2,20,100.0,100,201.0,201
6,66.06796332851401,0.865824954713963,13,20.0,0.2,0.2,20,100.0,100,201.0,201
7,82.76551054337865,1.912807571641627,10,20.0,0.2,0.2,20,100.0,100,201.0,201
8,98.94531544844064,2.9177830864122556,8,20.0,0.2,0.2,20,100.0,100,201.0,201
9,75.78372153224453,0.9426992295755338,11,20.0,0.2,0.2,20,100.0,100,201.0,201
10,82.51398498560309,1.8276153038870047,10,20.0,0.2,0.2,20,100.0,100,201.0,201
11,76.32674075775738,1.261609896848894,11,20.0,0.2,0.2,20,100.0,100,201.0,201
12,75.8092076001841,1.1138239262460055,11,20.0,0.2,0.2,20,100.0,100,201.0,201
13,76.5367563882944,1.2033207581058167,11,20.0,0.2,0.2,20,100.0,100,201.0,201
14,89.5275959038863,1.9600885622723603,9,20.0,0.2,0.2,20,100.0,100,201.0,201
15,121.70257728382767,2.4603009848798685,6,20.0,0.2,0.2,20,100.0,100,201.0,201
16,97.90728570588803,2.159155504189506,8,20.0,0.2,0.2,20,100.0,100,201.0,201
17,82.01204307517438,0.9068928221332607,10,20.0,0.2,0.2,20,100.0,100,201.0,201
18,76.06441003292663,0.7968700867615064,11,20.0,0.2,0.2,20,100.0,100,201.0,201
19,90.00562480366445,1.9767943528217866,9,20.0,0.2,0.2,20,100.0,100,201.0,201
20,66.00767971317661,1.364611640317594,13,20.0,0.2,0.2,20,100.0,100,201.0,201
1,56.475976221061885,1.4531022569480778,14,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,201.0,201
2,59.328991519317185,1.4681588879313174,13,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,201.0,201
3,53.742285568313086,1.5388822038816496,15,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,201.0,201
4,63.54591695069703,1.2382010589756918,12,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,201.0,201
5,63.48674400540759,1.486912363133782,12,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,201.0,201
6,85.653876485035,2.721307070533976,8,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,201.0,201
7,67.46678325935,1.431383568364674,11,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,201.0,201
8,91.14878401243985,2.774381041060869,7,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,201.0,201
9,92.0682359890347,2.7678425747776796,7,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,201.0,201
10,72.56053519708759,1.804567427986303,10,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,201.0,201
11,72.4063089524859,1.6306252489531146,10,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,201.0,201
12,77.56013479077247,1.236731566339901,9,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,201.0,201
13,113.52905372405408,1.1635392918883087,5,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,201.0,201
14,77.71981202348893,1.899339656823104,9,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,201.0,201
15,83.54866827896089,2.150954098576428,8,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,201.0,201
16,53.86083208905879,1.1688074891483922,15,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,201.0,201
17,71.88847694788925,1.2011655451995875,10,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,201.0,201
18,92.45043340118559,2.4447690252560865,7,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,201.0,201
19,72.06119167597168,1.7092392372925094,10,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,201.0,201
20,77.91151065709933,1.574447749887372,9,20.0,0.3,0.3,20,66.66666666666667,66.6666666666667,201.0,201
1,59.01073776194146,1.6071985342921074,11,20.0,0.4,0.4,20,50.0,50,201.0,201
2,88.5202126468306,4.457770478630512,5,20.0,0.4,0.4,20,50.0,50,201.0,201
3,62.25764565414001,1.6989636456086425,10,20.0,0.4,0.4,20,50.0,50,201.0,201
4,66.21357604813528,1.861374685783099,9,20.0,0.4,0.4,20,50.0,50,201.0,201
5,69.27406042422534,2.438787957562611,8,20.0,0.4,0.4,20,50.0,50,201.0,201
6,55.594796826482636,1.5837089854528625,12,20.0,0.4,0.4,20,50.0,50,201.0,201
7,63.000562495640445,1.9404348556785598,10,20.0,0.4,0.4,20,50.0,50,201.0,201
8,62.55341358804646,1.63989747117609,10,20.0,0.4,0.4,20,50.0,50,201.0,201
9,55.81801356681431,1.7590841048345056,12,20.0,0.4,0.4,20,50.0,50,201.0,201
10,66.57805615771352,1.4481307822499125,9,20.0,0.4,0.4,20,50.0,50,201.0,201
11,100.87682778822511,4.6611735949493305,4,20.0,0.4,0.4,20,50.0,50,201.0,201
12,75.87561079210275,3.452887151577605,7,20.0,0.4,0.4,20,50.0,50,201.0,201
13,55.64894388120601,1.9222586698829265,12,20.0,0.4,0.4,20,50.0,50,201.0,201
14,50.17048516376287,1.0532886044663483,14,20.0,0.4,0.4,20,50.0,50,201.0,201
15,50.242543169273944,1.6149284000340562,14,20.0,0.4,0.4,20,50.0,50,201.0,201
16,62.18381893948896,2.0918795854239396,10,20.0,0.4,0.4,20,50.0,50,201.0,201
17,58.463048844079424,2.0992522737900305,11,20.0,0.4,0.4,20,50.0,50,201.0,201
18,55.69621931395388,1.5538131848399752,12,20.0,0.4,0.4,20,50.0,50,201.0,201
19,62.24068869769773,1.6060658008185693,10,20.0,0.4,0.4,20,50.0,50,201.0,201
20,59.19490174935981,1.718728307893908,11,20.0,0.4,0.4,20,50.0,50,201.0,201
1,52.373660706768646,2.2049670402162893,10,20.0,0.5,0.5,20,40.0,40,201.0,201
2,53.81979299414834,2.2381016861458005,9,20.0,0.5,0.5,20,40.0,40,201.0,201
3,49.520581204844824,1.3915282631258692,11,20.0,0.5,0.5,20,40.0,40,201.0,201
4,69.28229393929115,2.3802794495184827,5,20.0,0.5,0.5,20,40.0,40,201.0,201
5,47.92332250616915,2.183781452750268,12,20.0,0.5,0.5,20,40.0,40,201.0,201
6,52.0189193894344,1.3672637301829886,10,20.0,0.5,0.5,20,40.0,40,201.0,201
7,43.70923177515414,1.8712267582150774,14,20.0,0.5,0.5,20,40.0,40,201.0,201
8,46.0141910981905,1.9625569712733177,13,20.0,0.5,0.5,20,40.0,40,201.0,201
9,55.03279483244688,1.2503580408554935,9,20.0,0.5,0.5,20,40.0,40,201.0,201
10,57.71613185629762,1.463662691187758,8,20.0,0.5,0.5,20,40.0,40,201.0,201
11,47.007591576380584,1.9069976774129305,12,20.0,0.5,0.5,20,40.0,40,201.0,201
12,52.03526232926033,1.2011101918571219,10,20.0,0.5,0.5,20,40.0,40,201.0,201
13,57.861750207459764,2.1401789685568655,8,20.0,0.5,0.5,20,40.0,40,201.0,201
14,45.987191041871,1.2765114897255307,13,20.0,0.5,0.5,20,40.0,40,201.0,201
15,50.6801152747715,2.0582133511564216,11,20.0,0.5,0.5,20,40.0,40,201.0,201
16,52.437585135453126,1.5128333344403528,10,20.0,0.5,0.5,20,40.0,40,201.0,201
17,55.08313866359566,1.9573416888315867,9,20.0,0.5,0.5,20,40.0,40,201.0,201
18,49.217248414015536,2.062909084662291,11,20.0,0.5,0.5,20,40.0,40,201.0,201
19,62.052679646880605,0.79409724815829,7,20.0,0.5,0.5,20,40.0,40,201.0,201
20,55.21879369627085,1.9270134865588218,9,20.0,0.5,0.5,20,40.0,40,201.0,201
1,39.292898540228386,1.7351791507249157,12,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,201.0,201
