value,m,s,n,arms,epsilon,scaled_1,players,repeat,m_per_player,best_arm_mean
11.0,5770.572357400481,1816.163152400057,6.0,20.0,0.2,100.0,101.0,0.0,57.13437977624239,87.39028135181873
12.0,5255.519458558748,1465.865353030164,10.0,20.0,0.2,100.0,101.0,0.0,52.034846124344035,87.39028135181873
13.0,7381.796277631547,1037.4039099320005,3.0,20.0,0.2,100.0,101.0,0.0,73.08709185773809,87.39028135181873
14.0,7355.942255727829,0.0,1.0,20.0,0.2,100.0,101.0,0.0,72.8311114428498,87.39028135181873
15.0,5856.296756561389,0.0,1.0,20.0,0.2,100.0,101.0,0.0,57.983136203578105,87.39028135181873
16.0,5798.9229324084245,1350.0950448721078,6.0,20.0,0.2,100.0,101.0,0.0,57.41507853869727,87.39028135181873
17.0,5385.3664698244875,947.8171987251279,9.0,20.0,0.2,100.0,101.0,0.0,53.320460097272154,87.39028135181873
18.0,5341.13538069206,1477.6343809257332,9.0,20.0,0.2,100.0,101.0,0.0,52.88252852170356,87.39028135181873
19.0,5733.833056796199,1241.1800851112669,9.0,20.0,0.2,100.0,101.0,0.0,56.770624324714845,87.39028135181873
0.0,9766.763912803313,0.0,1.0,20.0,0.2,100.0,101.0,1.0,96.7006328000328,97.87459977152317
1.0,5849.296458643466,1097.3613358604487,9.0,20.0,0.2,100.0,101.0,1.0,57.913826323202635,97.87459977152317
2.0,5246.989911451507,1444.0178407313715,10.0,20.0,0.2,100.0,101.0,1.0,51.95039516288621,97.87459977152317
3.0,7358.822766439513,1153.6518117356816,5.0,20.0,0.2,100.0,101.0,1.0,72.85963135088626,97.87459977152317
4.0,6759.745291099182,572.61192565945,7.0,20.0,0.2,100.0,101.0,1.0,66.92817119900181,97.87459977152317
6.0,8727.088612212698,83.39407959623513,2.0,20.0,0.2,100.0,101.0,1.0,86.40681794269997,97.87459977152317
7.0,6947.667086661428,1604.5984690612486,3.0,20.0,0.2,100.0,101.0,1.0,68.78878303625176,97.87459977152317
8.0,5741.495432629344,953.8850998275668,11.0,20.0,0.2,100.0,101.0,1.0,56.8464894319737,97.87459977152317
9.0,9913.376053207277,0.0,1.0,20.0,0.2,100.0,101.0,1.0,98.1522381505671,97.87459977152317
11.0,5960.742739557126,0.0,1.0,20.0,0.2,100.0,101.0,1.0,59.017254847100254,97.87459977152317
12.0,7706.004969270691,1216.9973620795731,2.0,20.0,0.2,100.0,101.0,1.0,76.29707890367021,97.87459977152317
