step,mean_player_reward,mean_player_regret,system_reward,oracle_reward,oracle_mean_expected,best_arm_index,efficiency,occupancy_variance,player_reward_variance,cumulative_system_regret
15.0,9.075809297052437,1235.047476990643,2722.7427891157313,91.56398601757344,91.40776823049084,46.0,0.09911985805544289,0.0,31.30967370133477,370514.24309719296
16.0,9.071842055512988,1317.4616467116757,2721.5526166538966,91.48601177654572,91.40776823049084,46.0,0.0991609742227143,0.0,31.30587906115247,395238.4940135028
17.0,9.071862891346658,1399.7865236619668,2721.5588674039973,91.39673984163775,91.40776823049084,46.0,0.09925805785923422,0.0,31.30324151027911,419935.9570985901
18.0,9.072914169061582,1482.3139300730209,2721.8742507184743,91.60032058011564,91.40776823049084,46.0,0.099048934671863,0.0,31.384150012938758,444694.17902190634
19.0,9.078302948582904,1564.6870955620636,2723.4908845748714,91.45146843762588,91.40776823049084,46.0,0.0992690779456945,0.0,31.28191584566945,469406.1286686192
20.0,9.076821526690779,1646.8507641690696,2723.0464580072335,91.24049013369671,91.40776823049084,46.0,0.09948238455745154,0.0,31.397779827626717,494055.229250721
21.0,9.07386749449327,1729.2115087347677,2722.1602483479805,91.43461206019136,91.40776823049084,46.0,0.09923886906765621,0.0,31.27510215561375,518763.45262043044
22.0,9.069443293760804,1811.4249834811487,2720.832988128241,91.28291804014175,91.40776823049084,46.0,0.09935531738558695,0.0,31.33660981013227,543427.4950443447
23.0,9.07956113534209,1893.8135113416115,2723.8683406026266,91.4680889958051,91.40776823049084,46.0,0.09926479535128907,0.0,31.328056038230663,568144.0534024836
24.0,9.073751163216691,1975.9148708000714,2722.125348965007,91.17511062167645,91.40776823049084,46.0,0.0995200455622968,0.0,31.316813438471893,592774.4612400215
25.0,9.075439957502812,2058.2093095211076,2722.631987250844,91.36987867853891,91.40776823049084,46.0,0.0993263873035487,0.0,31.311364846512888,617462.7928563324
26.0,9.073101999853629,2140.700703499225,2721.9305999560884,91.56449597797061,91.40776823049084,46.0,0.09908973890968084,0.0,31.35757734123775,642210.2110497674
27.0,9.068516031122982,2223.0591944124444,2720.5548093368943,91.42700694434298,91.40776823049084,46.0,0.09918859136057602,0.0,31.313690791325488,666917.7583237335
28.0,9.083270260338281,2305.5559809889096,2724.9810781014844,91.58005683680344,91.40776823049084,46.0,0.09918393342477128,0.0,31.314369425839548,691666.794296673
29.0,9.076081760059315,2387.82601453473,2722.8245280177944,91.34611530587915,91.40776823049084,46.0,0.09935925276808315,0.0,31.28518531614037,716347.8043604189
30.0,9.06956811299672,2470.2937481344425,2720.870433899016,91.53730171270944,91.40776823049084,46.0,0.09908057090716561,0.0,31.299014164835278,741088.1244403328
31.0,9.076927176986954,2552.403374819683,2723.078153096086,91.18655386222754,91.40776823049084,46.0,0.09954238637750423,0.0,31.303715885974697,765721.0124459049
32.0,9.075827389000207,2634.529312665647,2722.748216700062,91.20176523496471,91.40776823049084,46.0,0.09951372504268961,0.0,31.24550292356794,790358.7937996943
33.0,9.07322192538597,2716.7468808590884,2721.9665776157913,91.29079011882753,91.40776823049084,46.0,0.09938814105536739,0.0,31.30680887145006,815024.0642577268
34.0,9.071507851923991,2798.9177276121663,2721.452355577197,91.24235460500186,91.40776823049084,46.0,0.09942211477548493,0.0,31.306711609857558,839675.3182836501
35.0,9.066635177596941,2881.1119525493073,2719.990553279082,91.26086011473798,91.40776823049084,46.0,0.09934856154322771,0.0,31.356943049942277,864333.5857647924
36.0,9.074771840885049,2963.189279563328,2722.4315522655143,91.15209885490565,91.40776823049084,46.0,0.09955636737811288,0.0,31.311894774541262,888956.7838689985
37.0,9.071188169316287,3045.7555208471395,2721.3564507948863,91.63742945312772,91.40776823049084,46.0,0.09898998939026517,0.0,31.342993838856348,913726.6562541419
38.0,9.07296821613128,3128.232050991981,2721.8904648393836,91.54949836097303,91.40776823049084,46.0,0.09910451044043107,0.0,31.283455547662218,938469.6152975945
39.0,9.07176666040748,3210.7250958022764,2721.5299981222443,91.56481147070264,91.40776823049084,46.0,0.09907481394542171,0.0,31.352685477329505,963217.528740683
40.0,9.073476573564923,3293.273541042769,2722.042972069477,91.62192181405791,91.40776823049084,46.0,0.09903172072704486,0.0,31.344562219134417,987982.0623128309
