player,arm,samples,estimated_mean,estimated_std
4.0,18.0,26.0,9.770101658198012,3.260171781659656
4.0,19.0,27.0,9.786579346816518,2.958690086181538
4.0,20.0,11.0,6.521952433785445,0.488891632284687
4.0,21.0,11.0,4.766948363674929,4.232978954000338
4.0,22.0,13.0,2.7163389807362437,2.103132561500311
4.0,23.0,366.0,9.85143468438603,4.8266023303626255
4.0,24.0,10.0,6.946495505906158,0.023732721724718714
4.0,25.0,36.0,9.749960744373949,4.73050020657902
4.0,26.0,20.0,9.80441214016306,3.4821198863759304
4.0,27.0,39.0,9.810982892709681,4.3383595924178655
4.0,28.0,10.0,0.5330710470976414,0.02345932959661754
4.0,29.0,12.0,8.897253586765384,0.4423461917258203
4.0,30.0,27.0,9.812073859714824,4.544704118630637
4.0,31.0,11.0,8.022218498317775,0.028063180420215685
4.0,32.0,13.0,9.47705164518086,7.797955531197124
4.0,33.0,21.0,9.76716582981578,2.911292675207972
4.0,34.0,13.0,1.7504155801850723,1.3243095858924723
4.0,35.0,37.0,9.805643397271346,4.5415208567824505
4.0,36.0,53.0,9.78648757053876,5.041476461599391
4.0,37.0,10.0,7.895084134091459,0.03031548633981352
4.0,38.0,12.0,0.20154052695133826,0.13768460443818278
4.0,39.0,26.0,9.71056072338553,3.438560689445039
4.0,40.0,11.0,5.75340520313146,5.103150626084171
4.0,41.0,30.0,9.746226343167015,4.116943095224334
4.0,42.0,42.0,9.777877167614148,5.444782045441927
4.0,43.0,54.0,9.841689310603487,4.362779886604396
4.0,44.0,12.0,2.313707610725787,1.0881341002447666
4.0,45.0,11.0,3.031024903924568,2.6536178039716436
4.0,46.0,44.0,9.820932855961686,5.392818507308307
4.0,47.0,38.0,9.802224985368127,4.290958699214008
4.0,48.0,11.0,6.909669510175103,0.520095512631707
4.0,49.0,14.0,9.819977677806307,1.3191419899734504
4.0,50.0,13.0,9.539513476168706,1.9019162941576404
4.0,51.0,12.0,7.104314086892411,0.6672464594368204
4.0,52.0,12.0,1.0614762055994915,0.9042385296479865
4.0,53.0,10.0,1.576855336199885,0.02622599108078521
4.0,54.0,35.0,9.823675331437205,5.818085489105852
4.0,55.0,22.0,9.708524327481511,6.423633846294535
4.0,56.0,35.0,9.690627655051095,4.479019179179304
4.0,57.0,10.0,1.480418538464877,0.034258200481542385
4.0,58.0,11.0,5.524423896525282,0.4147058517316259
4.0,59.0,10.0,0.8561815408842064,0.03681768104852456
5.0,0.0,46.0,8.928183676696165,4.767547837722046
5.0,1.0,12.0,5.877385210776901,2.2749949220217727
5.0,2.0,39.0,8.929716102646045,3.051369913897584
5.0,3.0,11.0,4.0147253790626545,3.5993766688658564
5.0,4.0,43.0,8.938306776623145,3.058209627052513
5.0,5.0,39.0,8.889587023286701,2.718193470793837
5.0,6.0,15.0,8.94415316315582,6.934360595382616
5.0,7.0,11.0,4.205268483627002,1.6579683177065014
5.0,8.0,40.0,8.889114908337824,5.6356052717410945
5.0,9.0,41.0,8.879445823055628,5.1962970171990355
5.0,10.0,10.0,8.772795328360559,0.033365403804542296
5.0,11.0,11.0,2.0824535506723127,0.8266135680263496
5.0,12.0,10.0,3.2788443671102825,0.037792034273871684
5.0,13.0,14.0,8.913199158547823,1.3363649455198778
5.0,14.0,45.0,8.94004692874877,2.9926286172634717
5.0,15.0,10.0,6.779841587890475,0.037693971310834316
5.0,16.0,11.0,8.078085454454328,0.4121716998527764
5.0,17.0,12.0,8.495006453961619,7.3531260709813235
5.0,18.0,56.0,8.939061525516404,3.0177885844032315
5.0,19.0,35.0,8.89821536850562,2.863899908698944
5.0,20.0,13.0,8.77274405862584,7.001613078200204
5.0,21.0,10.0,3.480130343488128,0.03503140831921397
5.0,22.0,10.0,1.946107506345854,0.027705355459669533
5.0,23.0,17.0,8.908149983641266,1.3579557580739392
5.0,24.0,11.0,7.084357590643754,0.5212181476355308
5.0,25.0,50.0,8.836963322356699,4.291043077818281
5.0,26.0,30.0,8.933468509433215,3.333595564424754
5.0,27.0,70.0,9.214231150517218,4.236029477054593
5.0,28.0,11.0,0.5851300549635695,0.25135912782724407
5.0,29.0,11.0,8.776898395291427,0.7750813532883423
5.0,30.0,51.0,8.945128734881,3.939849362568035
5.0,31.0,11.0,7.810112286153434,0.693516312165508
5.0,32.0,11.0,6.859586126423411,0.5015649094673734
5.0,33.0,24.0,8.942748999349607,2.9809887869325773
5.0,34.0,12.0,1.887837714222926,1.7086562417279287
5.0,35.0,43.0,8.94604641419979,4.668311047147814
5.0,36.0,86.0,8.947960199901033,4.4260951431922155
5.0,37.0,10.0,7.885929901184005,0.021429023316998898
5.0,38.0,11.0,0.14988958632311894,0.03985451618343652
5.0,39.0,31.0,8.913652193928822,4.126903337106538
5.0,40.0,10.0,4.21428099957234,0.03210873272328322
5.0,41.0,81.0,8.937024181916614,3.3996437243398945
5.0,42.0,53.0,8.926873478408993,5.375686577206781
5.0,43.0,47.0,8.924466460505199,4.267519533086572
5.0,44.0,13.0,3.5302138078146648,3.2056545671013685
5.0,45.0,11.0,3.042266398430632,2.641180524207047
5.0,46.0,62.0,8.938786744805093,4.836334495340997
5.0,47.0,39.0,8.899281381051818,4.395297593128272
5.0,48.0,15.0,8.790364073442962,6.976590008641739
5.0,49.0,20.0,8.920522091420706,1.9771723976374695
5.0,50.0,44.0,8.911828831367059,2.6812436994078155
5.0,51.0,12.0,7.081151424763325,0.6530651573774959
5.0,52.0,10.0,0.7404333909757225,0.026186693929201085
5.0,53.0,11.0,2.125676495606373,1.8803502720554484
5.0,54.0,38.0,8.934885827852774,5.915060822780567
5.0,55.0,10.0,7.544620622229523,0.03197884400512698
5.0,56.0,55.0,8.937570498727663,4.368654539619349
5.0,57.0,12.0,2.1718889766141176,1.8078536244591423
5.0,58.0,12.0,5.997220735346213,1.3954213876129575
5.0,59.0,11.0,0.9690904454226372,0.41680959436219234
6.0,0.0,33.0,10.088745002358523,4.904196739582121
6.0,1.0,11.0,5.6530599028989545,2.2238361099468342
6.0,2.0,17.0,10.00786692697058,2.5101122013001014
