step,oracle_reward,oracle_mean_expected,system_reward,system_mean_reward,efficiency,cumulative_system_regret
29.0,91.34611530587915,91.40776823049084,2722.8245280177944,9.076081760059315,0.09935925276808315,716347.8043604189
30.0,91.53730171270944,91.40776823049084,2720.870433899016,9.06956811299672,0.09908057090716561,741088.1244403328
31.0,91.18655386222754,91.40776823049084,2723.078153096086,9.076927176986954,0.09954238637750423,765721.0124459049
32.0,91.20176523496471,91.40776823049084,2722.748216700062,9.075827389000207,0.09951372504268961,790358.7937996943
33.0,91.29079011882753,91.40776823049084,2721.9665776157913,9.07322192538597,0.09938814105536739,815024.0642577268
34.0,91.24235460500186,91.40776823049084,2721.452355577197,9.071507851923991,0.09942211477548493,839675.3182836501
35.0,91.26086011473798,91.40776823049084,2719.990553279082,9.066635177596941,0.09934856154322771,864333.5857647924
36.0,91.15209885490565,91.40776823049084,2722.4315522655143,9.074771840885049,0.09955636737811288,888956.7838689985
37.0,91.63742945312772,91.40776823049084,2721.3564507948863,9.071188169316287,0.09898998939026517,913726.6562541419
38.0,91.54949836097303,91.40776823049084,2721.8904648393836,9.07296821613128,0.09910451044043107,938469.6152975945
39.0,91.56481147070264,91.40776823049084,2721.5299981222443,9.07176666040748,0.09907481394542171,963217.528740683
40.0,91.62192181405791,91.40776823049084,2722.042972069477,9.073476573564923,0.09903172072704486,987982.0623128309
41.0,91.24409893464608,91.40776823049084,2720.1438438793866,9.067146146264621,0.09937241149982749,1012635.1481493454
42.0,91.55851894211004,91.40776823049084,2721.7269493608724,9.072423164536241,0.09908879336801513,1037380.9768826176
43.0,91.16619848138889,91.40776823049084,2721.3144147956855,9.071048049318952,0.09950012395406352,1062009.5220122386
44.0,91.44578879657499,91.40776823049084,2721.8877098825715,9.072959032941904,0.09921680541380734,1086721.3709413286
45.0,91.33185691398249,91.40776823049084,2720.860634634054,9.06953544878018,0.09930308826767842,1111400.0673808893
46.0,91.61637669195268,91.40776823049084,2721.5585919800887,9.071861973266962,0.09902009117616424,1136163.421796495
47.0,91.17082371546832,91.40776823049084,2721.638483049393,9.072128276831311,0.09950692455235662,1160793.0304280862
48.0,91.21302471377459,91.40776823049084,2722.0288030965917,9.073429343655306,0.09947515031025034,1185434.909039122
49.0,91.37921267306845,91.40776823049084,2722.9670946293472,9.076556982097824,0.09932846559503015,1210125.7057464132
50.0,91.5617532208062,91.40776823049084,2722.051409093298,9.07350469697766,0.09909710526289732,1234872.1803035617
51.0,91.32770002499709,91.40776823049084,2721.392335472399,9.071307784907995,0.09932701450299426,1259549.0979755884
52.0,91.4209756434103,91.40776823049084,2722.7445239097087,9.07581507969903,0.09927497508995597,1284252.6461447019
53.0,91.38601572885663,91.40776823049084,2721.3306927934455,9.071102309311485,0.09926138301319044,1308947.1201705653
54.0,91.60062783567543,91.40776823049084,2719.5823370329676,9.065274456776558,0.09896520003158682,1333707.726184235
55.0,91.52080268929173,91.40776823049084,2722.7091709886317,9.075697236628773,0.0991654025089824,1358441.257820034
56.0,91.1612360081477,91.40776823049084,2722.008957740714,9.073363192469046,0.09953093650088397,1383067.6196647375
57.0,91.54231451765412,91.40776823049084,2723.03221068225,9.0767740356075,0.09915386216127434,1407807.2818093514
58.0,91.20942750042025,91.40776823049084,2721.836877053537,9.072789590178457,0.09947205940018267,1432448.273182424
