value,m,s,n,n_arms,eps,f_eps,f_n_arms,scaled_1,f_scaled_1,n_users,f_n_users
21,0.7951998299206479,0.06049948784339162,8,30.0,0.1,0.1,30,300.0,300,51.0,51
22,0.7864748677133397,0.05960053476726567,6,30.0,0.1,0.1,30,300.0,300,51.0,51
24,0.8154166666550268,0.02906828645687518,3,30.0,0.1,0.1,30,300.0,300,51.0,51
3,0.8288490830074657,0.030760273962140355,12,30.0,0.2,0.2,30,150.0,150,51.0,51
8,0.7917989417920586,0.06483615416320052,5,30.0,0.2,0.2,30,150.0,150,51.0,51
13,0.798677884609778,0.0762066202467237,2,30.0,0.2,0.2,30,150.0,150,51.0,51
17,0.7985833610761464,0.048586824929481645,11,30.0,0.2,0.2,30,150.0,150,51.0,51
28,0.751548669578447,0.05487879308544331,7,30.0,0.2,0.2,30,150.0,150,51.0,51
29,0.8049341531411056,0.06042655809650607,7,30.0,0.2,0.2,30,150.0,150,51.0,51
1,0.7940416065359958,0.055293921566351094,7,30.0,0.3,0.3,30,100.0,100,51.0,51
5,0.7776835845494676,0.05513353401110856,9,30.0,0.3,0.3,30,100.0,100,51.0,51
7,0.8038390313337928,0.04397995602768819,5,30.0,0.3,0.3,30,100.0,100,51.0,51
9,0.782894736838174,0.007906910692080545,3,30.0,0.3,0.3,30,100.0,100,51.0,51
11,0.780744575932909,0.0036610558142958207,2,30.0,0.3,0.3,30,100.0,100,51.0,51
16,0.804109250531851,0.023011572621076157,7,30.0,0.3,0.3,30,100.0,100,51.0,51
17,0.7586967906785457,0.05008846454883488,3,30.0,0.3,0.3,30,100.0,100,51.0,51
19,0.7873526126595622,0.056101495592800824,6,30.0,0.3,0.3,30,100.0,100,51.0,51
23,0.7858712121167091,0.04311060174392215,5,30.0,0.3,0.3,30,100.0,100,51.0,51
3,0.729827691480288,0.03375649266345284,6,30.0,0.4,0.4,30,75.0,75,51.0,51
5,0.7707468541998785,0.033000772290215453,10,30.0,0.4,0.4,30,75.0,75,51.0,51
8,0.7654765493039919,0.05446415480740953,16,30.0,0.4,0.4,30,75.0,75,51.0,51
9,0.7495206048190247,0.044180588330645525,6,30.0,0.4,0.4,30,75.0,75,51.0,51
18,0.6967105263123827,0.0400073573567647,2,30.0,0.4,0.4,30,75.0,75,51.0,51
27,0.7442093870993568,0.038101360482170894,5,30.0,0.4,0.4,30,75.0,75,51.0,51
